MeV,integrated
0.196,0
0.1974541237,0.02989999182
0.2129967938,0.07475680599
0.2401964663,0.1171620282
0.2699865839,0.138883138
0.2868244764,0.1575404
0.303662369,0.1674601384
0.314024149,0.1899576868
0.3412238215,0.2230525817
0.3878518316,0.2469793462
0.4218514223,0.2667285701
0.4539081793,0.2902541867
0.4888791868,0.3148623299
0.5199645269,0.3268468285
0.5355071969,0.3318748448
0.543278532,0.341024222
0.5595983355,0.3462726363
0.5704782045,0.3473472507
0.5730686495,0.3554080856
0.5957350433,0.3563819218
0.5993431631,0.3695773874
0.6415304104,0.3796938272
0.6681749876,0.3868626451
0.6901567638,0.398019815
0.7310857948,0.4022330603
0.7479236874,0.4073682079
0.7725329149,0.407678853
0.7736431056,0.4127155703
0.7948755031,0.4191020519
0.8260687784,0.4219551219
0.8381575217,0.4279057706
0.8688974691,0.4324603569
0.8891029402,0.4347867123
0.9007599427,0.4354302879
0.9046456102,0.4376366308
0.9201882802,0.4378561756
0.9324003781,0.4433131576
0.9690366718,0.4438172074
0.9719971803,0.4443275419
0.9745876253,0.4504446628
1.014554491,0.4511189143
1.018107101,0.4517919082
1.021215635,0.4604298413
1.07328358,0.4610637053
1.077169248,0.4619409682
1.083386316,0.4642735674
1.095043318,0.4657232467
1.106700321,0.4670179472
1.114471656,0.4670179472
1.114471656,0.4670179472
1.114471656,0.4673684124
1.120123536,0.4675949321
1.122242991,0.4688048365
1.135565279,0.4724395057
1.163690111,0.4730049213
1.168871001,0.474251331
1.176642336,0.4750845777
1.18330348,0.4799109326
1.218089456,0.4808927246
1.227156013,0.4818013445
1.233632126,0.4834406078
1.246584351,0.4847869875
1.260184187,0.4860021692
1.271008547,0.4878972331
1.283220645,0.493326867
1.324297701,0.4951542468
1.339840371,0.4982889202
1.369630489,0.4996415148
1.383359847,0.5034378253
1.417553721,0.5039917011
1.423382223,0.5040777901
1.426435247,0.5042741786
1.429210724,0.5042741786
1.429210724,0.5043598349
1.431542124,0.5044593784
1.434650658,0.5045560575
1.436982059,0.5045560575
1.436982059,0.5047376768
1.440867726,0.5061686263
1.464181731,0.5064529925
1.468067399,0.5064529925
1.468067399,0.5064529925
1.468067399,0.5064529925
1.468067399,0.5064529925
1.468067399,0.5064828247
1.468844532,0.5067751319
1.471953066,0.5067751319
1.471953066,0.5086560016
1.495267071,0.5086560016
1.495267071,0.5096758332
1.505628851,0.5125475075
1.526352411,0.5142107178
1.537037997,0.5144072921
1.538009414,0.5174243974
1.555494918,0.5186026952
1.56423767,0.519578465
1.572980422,0.5213223756
1.584637424,0.5216867993
1.588523092,0.5230110544
1.598884872,0.5240286884
1.61028283,0.5271234072
1.638683527,0.5296893635
1.666236442,0.5320414336
1.688440256,0.5336444513
1.707035951,0.5339392761
1.709755918,0.5344746066
1.716750119,0.5356986906
1.735314975,0.5375916175
1.755606794,0.5381822404
1.760787684,0.5405246686
1.787987357,0.5419770136
1.802234805,0.5421922001
1.80482525,0.5455697619
1.832348728,0.5498862495
1.871823577,0.5539028701
1.914919162,0.5549971705
1.927353298,0.5557336697
1.938233167,0.5587337322
1.97579462,0.5604715253
1.999540366,0.5637191696
2.037141068,0.5654490637
2.059984083,0.5680900929
2.090205941,0.5706375785
2.124745208,0.5709559837
2.128630875,0.5735582876
2.16748755,0.5740968095
2.175258885,0.5760053796
2.19857289,0.580376994
2.246172317,0.5841106199
2.288720377,0.5864362203
2.318057166,0.5889469922
2.353999591,0.5894161642
2.363325193,0.5897886013
2.369542261,0.5908153179
2.390524865,0.5922040582
2.410730336,0.5947948038
2.455026946,0.5948341238
2.455923638,0.5954919017
2.467794139,0.5972817626
2.493883621,0.5976565298
2.499323555,0.5998130304
2.537736154,0.5998804798
